ts_utc,poly_best_ask,poly_best_bid,delta_ref_prob,deribit_best_ask,deribit_best_bid,deribit_index_price
2026-04-06T12:51:33.400803+00:00,0.45,0.42,0.43618,0.024,0.023,69393.52
2026-04-06T12:51:49.627118+00:00,0.45,0.42,0.43789999999999996,0.024,0.023,69410.36
2026-04-06T12:52:05.289581+00:00,0.45,0.42,0.43828999999999996,0.024,0.023,69414.82
2026-04-06T12:52:20.886598+00:00,0.45,0.42,0.43794999999999995,0.024,0.023,69413.85
2026-04-06T12:52:36.485465+00:00,0.45,0.42,0.43413,0.0245,0.0235,69383.04
2026-04-06T12:52:52.094629+00:00,0.44,0.42,0.43225,0.0245,0.0235,69364.43
2026-04-06T12:53:07.767716+00:00,0.44,0.42,0.43225,0.0245,0.0235,69365.4
2026-04-06T12:53:23.360380+00:00,0.44,0.42,0.43165,0.0245,0.0235,69359.1
2026-04-06T12:53:38.968398+00:00,0.45,0.42,0.43245,0.0245,0.0235,69365.48
2026-04-06T12:53:54.554065+00:00,0.45,0.42,0.43259000000000003,0.0245,0.0235,69367.71
2026-04-06T12:54:10.924539+00:00,0.45,0.42,0.43387,0.024,0.0235,69375.74
2026-04-06T12:54:27.598656+00:00,0.45,0.42,0.43555999999999995,0.024,0.023,69387.76
2026-04-06T12:54:43.538684+00:00,0.45,0.42,0.43555999999999995,0.024,0.023,69389.1
2026-04-06T12:54:59.146464+00:00,0.45,0.42,0.4355,0.024,0.023,69388.39
2026-04-06T12:55:14.740031+00:00,0.45,0.42,0.43545,0.024,0.023,69388.38
2026-04-06T12:55:30.326937+00:00,0.45,0.42,0.43671000000000004,0.024,0.023,69398.17
